,Address,Txns_x,First Transacted_x,Last Transacted_x,Ⱥ In_x,Ⱥ Out_x,Ⱥ Net_x,Txns_y,First Transacted_y,Last Transacted_y,Ⱥ In_y,Ⱥ Out_y,Ⱥ Net_y,exists
272,YFJ2NC3TD4XSQHJ3GIN3P5WY73TZ22IABAIDPJJ5K76O7SB3ZFGCPWTGW4,1,"2/23/2023, 2:19:08 AM","2/23/2023, 2:19:08 AM",0.0,2689.5458,-2689.5458,1.0,"10/24/2022, 9:59:34 PM","10/24/2022, 9:59:34 PM",0.0,0.002,-0.002,both
274,A5LODHBSLAD3H3WR72CQAPCVAEZB7B54ZTTJX3NWNXC5BK5NNTDWXHKKJI,1,"2/22/2023, 1:07:08 PM","2/22/2023, 1:07:08 PM",0.0,451.4223,-451.4223,1.0,"10/23/2022, 3:02:48 PM","10/23/2022, 3:02:48 PM",0.0,0.002,-0.002,both
279,4NODO7YB7DYCDRTVRFOZURUGZYVWSE2MZEAZWSUGRTLLC56MMTZ73OR47A,6,"12/23/2022, 3:28:12 AM","2/20/2023, 5:14:10 PM",0.0,59383.122149,-59383.122149,1.0,"10/22/2022, 7:26:43 AM","10/22/2022, 7:26:43 AM",0.0,0.002,-0.002,both
285,OS2EQZ5I7PP32RBST3C32JYW3PBZPTUTDLWZ7XEOJO4DAZYERJ3GBCTZYE,3,"12/21/2021, 1:15:08 AM","2/19/2023, 6:21:10 AM",0.0,151.933415,-151.933415,1.0,"10/24/2022, 4:43:31 PM","10/24/2022, 4:43:31 PM",0.0,0.002,-0.002,both
290,3QMNOPLW6FOA6PYH7JCX4X6HUR7BEKEMIZNH3SV5PMTFVNBNREWRPLPQBY,20,"7/16/2022, 10:04:09 AM","2/16/2023, 11:15:15 PM",0.0,47400.092029,-47400.092029,1.0,"10/21/2022, 11:16:36 PM","10/21/2022, 11:16:36 PM",0.0,0.002,-0.002,both
292,DV6A2AS5UB5GV2CKNGMIJEVR76SA47LRKGWFGIIA5LNOPM7XZOOMFKQNKA,2,"3/11/2021, 8:09:06 AM","2/16/2023, 7:54:15 AM",0.0,489.1694,-489.1694,1.0,"10/24/2022, 11:00:46 AM","10/24/2022, 11:00:46 AM",0.0,0.002,-0.002,both
299,5GMYPOYUTYQY7LONHQELBRIGYKWT6LGDD73IYTCD3F5DSRNV6AI3IAMUVQ,4,"10/23/2022, 1:10:07 AM","2/13/2023, 1:42:12 AM",0.0,33957.444114,-33957.444114,1.0,"10/22/2022, 2:26:57 PM","10/22/2022, 2:26:57 PM",0.0,0.201,-0.201,both
306,CEZCK3323JIYNQT4H7BRSDPQEXSUCAEL4W45NBF5LCI2Q5RVIYM7ZNGYGI,3,"2/8/2023, 10:02:06 PM","2/8/2023, 10:13:08 PM",0.0,7237.4053,-7237.4053,1.0,"10/24/2022, 10:11:16 AM","10/24/2022, 10:11:16 AM",0.0,0.002,-0.002,both
308,CFUVWXZ5S6R4JCZFZQH2C6TM7D25ANALXQ3L65LFLDBLTI4HCYPCNJIOMA,1,"2/8/2023, 11:39:12 AM","2/8/2023, 11:39:12 AM",0.0,1274.724146,-1274.724146,1.0,"10/24/2022, 10:12:26 AM","10/24/2022, 10:12:26 AM",0.0,0.002,-0.002,both
311,ESOWWAY5CFGBDISRN6TEBYPXZNTQ2II55U2NMFQKWA4D4EAWW6NCOFTT3U,8,"1/22/2021, 7:40:12 PM","2/8/2023, 4:24:10 AM",0.0,481549.147353,-481549.147353,1.0,"10/24/2022, 11:31:34 AM","10/24/2022, 11:31:34 AM",0.0,0.002,-0.002,both
